framed,player_id,round_nr,participant_code,s1,s1_cum,s1_freq,df
1,1,23,9smjkz19,0,0,0,1.857142857
0,1,23,bhaakguo,0,2,0.086956522,1.8
0,1,23,bollw9mr,1,18,0.782608696,2.542857143
0,1,23,buocfmyx,0,7,0.304347826,1.485714286
0,1,23,buxstyu5,0,9,0.391304348,2.485714286
0,1,23,chdxrfak,1,22,0.956521739,2.371428571
0,1,23,crzbb1pp,0,6,0.260869565,1.942857143
0,1,23,eze54kxk,1,11,0.47826087,2.628571429
1,1,23,g7ab12q3,1,19,0.826086957,1.885714286
0,1,23,gauqrm0f,1,16,0.695652174,1.685714286
1,1,23,i16qw3id,0,15,0.652173913,1.714285714
0,1,23,i8qt3jxw,1,8,0.347826087,2.114285714
1,1,23,ipmny9rq,0,1,0.043478261,2.257142857
1,1,23,izo49mch,1,16,0.695652174,2.2
0,1,23,jiebe12q,1,6,0.260869565,3.228571429
0,1,23,k5s3f5ne,1,10,0.434782609,1.885714286
0,1,23,kdhmpvys,0,4,0.173913043,1.742857143
0,1,23,o4plj56u,1,5,0.217391304,1.914285714
0,1,23,ogmameyc,0,5,0.217391304,1.628571429
1,1,23,or50tpef,0,16,0.695652174,1.8
1,1,23,ouaa8yuq,0,8,0.347826087,2.771428571
1,1,23,owlwqap1,1,13,0.565217391,2.8
1,1,23,oy8wn5im,0,7,0.304347826,2.2
0,1,23,qmwwptcx,0,1,0.043478261,1.714285714
1,1,23,r3oyr52t,0,0,0,2.114285714
1,1,23,rj5j60np,1,17,0.739130435,2.285714286
0,1,23,s48es8wr,0,0,0,1.828571429
1,1,23,sj2ft9f6,0,17,0.739130435,2.171428571
0,1,23,t1tzrcmi,0,2,0.086956522,1.8
0,1,23,tcleibkp,0,9,0.391304348,2.771428571
1,1,23,u9xqjsvk,1,13,0.565217391,3.257142857
0,1,23,ursirs43,1,18,0.782608696,2.257142857
1,1,23,uwz2vbjr,1,22,0.956521739,2.6
0,1,23,w8d4usex,0,11,0.47826087,2.657142857
0,1,23,wh4u3tph,0,0,0,2.4
1,1,23,xtfge1ys,0,18,0.782608696,1.771428571
0,1,23,xurwn6zz,0,11,0.47826087,2.428571429
0,1,23,ycniewr6,0,4,0.173913043,1.742857143
1,1,23,yh9eenkb,0,0,0,2.114285714
1,1,23,z50vt4g0,0,2,0.086956522,2.6
1,1,23,zo9j0hsi,1,10,0.434782609,2.657142857
0,2,23,0xwx0wrp,0,11,0.47826087,2.457142857
0,2,23,17fpqn72,0,1,0.043478261,2.485714286
0,2,23,20cc9xq0,0,2,0.086956522,1.914285714
1,2,23,2fsj9qvt,0,1,0.043478261,2.228571429
1,2,23,3u51j68w,0,6,0.260869565,1.514285714
0,2,23,4txwixdq,0,3,0.130434783,1.571428571
1,2,23,6fsse8c1,0,13,0.565217391,2.514285714
0,2,23,6h8woyh9,0,6,0.260869565,1.771428571
1,2,23,6ub1usmw,0,1,0.043478261,2.228571429
1,2,23,6zqxv643,0,0,0,1.428571429
1,2,23,7lpmb9fe,0,9,0.391304348,1.657142857
1,2,23,b689r07v,0,8,0.347826087,1.857142857
1,2,23,b7ctrqau,0,0,0,1.485714286
0,2,23,cpep7vdg,0,5,0.217391304,3.171428571
0,2,23,d3nnqhj1,0,0,0,2.342857143
1,2,23,e8jis7nf,0,1,0.043478261,2.657142857
0,2,23,egrlpjt0,0,4,0.173913043,1.942857143
0,2,23,elxbu53y,0,5,0.217391304,2.714285714
0,2,23,enmax74b,0,4,0.173913043,2.028571429
0,2,23,fg9bbibz,0,2,0.086956522,1.714285714
1,2,23,ftednx2p,0,0,0,2.028571429
1,2,23,gs3duosm,0,3,0.130434783,1.771428571
0,2,23,gsgult9w,0,2,0.086956522,2.4
0,2,23,gyckpsyt,0,1,0.043478261,1.8
1,2,23,i18sqw1f,0,0,0,2.171428571
1,2,23,i2nn9ow6,0,17,0.739130435,1.914285714
1,2,23,i7rlg7cc,0,1,0.043478261,1.4
0,2,23,icec28hf,0,0,0,2.657142857
1,2,23,iyu7t1vc,0,11,0.47826087,1.914285714
0,2,23,jt77i2bs,0,2,0.086956522,1.4
0,2,23,k7l2k1h7,0,4,0.173913043,1.685714286
1,2,23,kcee9wcd,0,5,0.217391304,2.028571429
1,2,23,mv7b2pla,0,10,0.434782609,2.6
0,2,23,no6j6c3d,0,4,0.173913043,2.514285714
0,2,23,o8yazhge,0,5,0.217391304,1.771428571
0,2,23,owd84sog,0,0,0,2.4
0,2,23,q9c5lo1x,0,11,0.47826087,2.285714286
1,2,23,qaes30x6,0,1,0.043478261,1.571428571
1,2,23,qkypffhk,0,0,0,2.2
1,2,23,qxal8ioj,0,2,0.086956522,2.714285714
0,2,23,st9ftz75,0,0,0,2.028571429
0,2,23,svszy7vv,0,10,0.434782609,2.485714286
0,2,23,swbsts7n,0,9,0.391304348,2.571428571
0,2,23,vnhsr39l,0,0,0,1.8
0,2,23,vntc9er4,0,0,0,2.142857143
1,2,23,vrtjenol,0,6,0.260869565,2.542857143
0,2,23,x2gcqvwb,0,2,0.086956522,3
1,2,23,x6hhcpwc,0,0,0,1.885714286
1,2,23,xwsl0cj6,0,0,0,2.114285714
1,2,23,y9iygxxf,0,0,0,2.771428571
1,1,24,0bmasffv,0,22,0.916666667,1.742857143
1,1,24,265l99ai,0,1,0.041666667,2.6
1,1,24,3cruabz9,0,13,0.541666667,1.4
1,1,24,3fmd8mik,0,0,0,2.828571429
0,1,24,5xdc3466,1,22,0.916666667,3.085714286
0,1,24,6i6lsymy,1,18,0.75,2.342857143
0,1,24,7h7cf7jw,1,23,0.958333333,2.485714286
1,1,24,7xjh9hwo,1,22,0.916666667,2.485714286
1,1,24,8gckk19h,1,12,0.5,2.114285714
1,1,24,9smjkz19,0,0,0,1.857142857
