framed,round,PU,QL,NEIA_alpha,NEIA_beta,NEIA_PU,NEIA_QL,IB_MOD_gamma,IB_MOD_PU,IB_MOD_QL,IB_MODIA_alpha,IB_MODIA_beta,IB_MODIA_PU,IB_MODIA_QL,IB_MODIAFP_alpha,IB_MODIAFP_beta,IB_MODIAFP_PU,IB_MODIAFP_ql,IB_3PAR_alpha,IB_3PAR_beta,IB_3PAR_gamma,IB_3PAR_PU,IB_3PAR_QL,NEIA_ed,IBMOD_ed,IBMODIA_ed,IB_MODIAFP_ed,IB_3PAR_ed
0,23,0.43,0.159,0,0,0.2,0.25,1.6,0.458813326,0.155621097,0.672,0.412,0.429793686,0.158872682,0,0.21,0.422987344,0.145676739,0.087,0.212,1.6,0.429749189,0.158851294,0.247180779,0.029227776,2.94785E-05,0.014826424,2.03E-05
0,24,0.433,0.155,0,0,0.2,0.25,1.6,0.458813326,0.155621097,0.694,0.395,0.43272964,0.155433418,0,0.192,0.426820822,0.143735136,0.87,0.445,0.9,0.432675926,0.15545293,0.251168579,0.026121587,4.03459E-05,0.013102761,1.69E-05
0,25,0.429,0.149,0,0,0.2,0.25,1.7,0.458283035,0.148089339,0.796,0.454,0.429210942,0.149223306,0,0.193,0.426609626,0.143841424,0.164,0.244,1.6,0.429226039,0.149235578,0.250402043,0.02907468,2.11848E-05,0.005992949,6.75E-06
0,26,0.426,0.145,0,0,0.2,0.25,1.8,0.457809836,0.141253439,0.877,0.505,0.426078081,0.144938877,0,0.197,0.425762777,0.144268405,0.288,0.309,1.5,0.426018901,0.145007879,0.249245386,0.031991001,5.29851E-05,0.000753124,4.10E-05
0,27,0.422,0.145,0,0,0.2,0.25,1.8,0.457809836,0.141253439,0.904,0.552,0.421648696,0.145306622,0.008,0.22,0.421585715,0.145277142,0.904,0.552,1,0.421648696,0.145306622,0.24513683,0.03638305,8.3542E-06,7.02E-05,8.35E-06
0,28,0.418,0.144,0,0,0.2,0.25,1.8,0.457809836,0.141253439,0.951,0.603,0.417566544,0.144178272,0.031,0.249,0.417569399,0.144184276,0.193,0.32,1.7,0.417582431,0.144215679,0.241928169,0.040337447,5.48444E-05,4.83E-05,1.51E-05
0,29,0.414,0.145,0,0,0.2,0.25,1.8,0.457809836,0.141253439,0.974,0.644,0.413801268,0.144558578,0.043,0.272,0.413831646,0.144484116,0.974,0.644,1,0.413801268,0.144558578,0.238379094,0.044140929,8.98697E-06,8.72E-05,8.99E-06
0,30,0.412,0.145,0,0,0.2,0.25,1.8,0.457809836,0.141253439,0.986,0.668,0.411556984,0.14490996,0.049,0.286,0.411432887,0.144914725,0.816,0.607,1.1,0.411570548,0.144870718,0.236221211,0.046412634,4.24218E-05,0.00011397,3.21E-05
0,31,0.412,0.141,0,0,0.2,0.25,1.8,0.457809836,0.141253439,1,0.661,0.412887263,0.143315171,0.074,0.296,0.41183446,0.141483796,0.716,0.567,1.2,0.411910188,0.141440222,0.238099933,0.045899542,0.002114942,8.83E-05,1.12E-06
0,32,0.407,0.138,0,0,0.2,0.25,1.9,0.457384978,0.135021153,1,0.681,0.4106433,0.144456377,0.118,0.338,0.407497227,0.138265863,0.661,0.579,1.3,0.407455279,0.138222819,0.235649763,0.050035487,0.00700449,6.37E-05,3.75E-06
0,33,0.403,0.134,0,0,0.2,0.25,2,0.457001411,0.129315864,1,0.695,0.409064419,0.145265002,0.173,0.386,0.403261976,0.134076958,0.123,0.361,2.1,0.403260331,0.13401279,0.234018036,0.053944614,0.01264191,4.43E-05,2.01E-05
0,34,0.397,0.132,0,0,0.2,0.25,2,0.457001411,0.129315864,1,0.732,0.404858345,0.147442303,0.217,0.44,0.397009258,0.132396711,0.586,0.62,1.5,0.39704343,0.132351472,0.229506014,0.060019477,0.016985917,6.61E-05,1.55E-05
0,35,0.392,0.132,0,0,0.2,0.25,2,0.457001411,0.129315864,1,0.761,0.401526488,0.149191367,0.244,0.478,0.39234787,0.131868064,0.622,0.669,1.5,0.39230422,0.131860959,0.225693125,0.064744045,0.019623473,4.02E-05,7.97E-06
0,36,0.39,0.131,0,0,0.2,0.25,2,0.457001411,0.129315864,1,0.775,0.399906473,0.150049695,0.26,0.499,0.389928902,0.131426005,0.643,0.695,1.5,0.389968569,0.131404212,0.223935906,0.067076851,0.021128545,3.24E-05,1.28E-05
0,37,0.389,0.129,0,0,0.2,0.25,2.1,0.456653394,0.124073404,1,0.774,0.400022443,0.149988078,0.291,0.522,0.388735792,0.128979113,0.423,0.592,1.8,0.388773996,0.128883877,0.224278968,0.068051253,0.023902451,8.93E-05,1.43E-05
0,38,0.385,0.129,0,0,0.2,0.25,2.1,0.456653394,0.124073404,1,0.8,0.396994246,0.151605857,0.317,0.558,0.384599895,0.128490425,0.833,0.825,1.4,0.384632264,0.128527749,0.220985887,0.072176503,0.02617545,5.43E-05,2.24E-05
0,39,0.384,0.129,0,0,0.2,0.25,2.1,0.456653394,0.124073404,1,0.808,0.396056969,0.152110337,0.315,0.562,0.383623527,0.129139861,0.83,0.831,1.4,0.383637426,0.129195556,0.219805406,0.073203328,0.026071651,5.18E-05,9.26E-06
0,40,0.385,0.127,0.001,0,0.199820162,0.24972946,2.1,0.456653394,0.124073404,1,0.794,0.397695481,0.151229589,0.334,0.567,0.384682404,0.126892314,0.858,0.837,1.4,0.38463258,0.126921678,0.221879882,0.07209435,0.027602453,7.37E-05,1.73E-05
0,41,0.384,0.126,0.005,0,0.199104032,0.248653129,2.2,0.456336202,0.119239621,1,0.796,0.397461899,0.151354814,0.353,0.583,0.38366309,0.125666628,0.191,0.491,2.3,0.383651795,0.125673351,0.221774403,0.072945863,0.02912047,3.96E-05,3.95E-05
0,42,0.382,0.124,0.013,0,0.197687061,0.246528063,2.2,0.456336202,0.119239621,1,0.801,0.396877231,0.151668742,0.386,0.611,0.381892525,0.123622922,0.386,0.611,2,0.381892525,0.123622922,0.221421526,0.074597165,0.031806406,2.46E-05,2.46E-05
0,43,0.383,0.122,0.016,0,0.197160883,0.245740498,2.3,0.456045913,0.114768501,1,0.788,0.398395253,0.150855095,0.404,0.616,0.382789585,0.121705347,0.633,0.738,1.7,0.382817778,0.121633374,0.223318623,0.07354171,0.033099395,7.01E-05,1.52E-05
0,44,0.384,0.122,0.013,0,0.197687061,0.246528063,2.2,0.456336202,0.119239621,1,0.784,0.398860962,0.150606409,0.39,0.603,0.383740075,0.122441224,0.458,0.64,1.9,0.383733846,0.122388999,0.223672744,0.072662733,0.032022958,6.36E-05,1.36E-05
0,45,0.383,0.123,0.012,0,0.197863079,0.246791708,2.2,0.456336202,0.119239621,1,0.792,0.3979289,0.151104561,0.387,0.606,0.382900565,0.123076586,0.387,0.606,2,0.382900565,0.123076586,0.222589812,0.073530415,0.031799946,5.43E-06,5.43E-06
0,46,0.384,0.122,0.013,0,0.197687061,0.246528063,2.2,0.456336202,0.119239621,1,0.783,0.398977289,0.150544359,0.394,0.605,0.383774889,0.122090293,0.822,0.826,1.5,0.383785946,0.122062079,0.223873238,0.072612262,0.032273291,1.73E-05,1.33E-05
0,47,0.382,0.119,0.022,0,0.196116886,0.244180368,2.3,0.456045913,0.114768501,1,0.785,0.398744595,0.150668508,0.434,0.636,0.382170073,0.119550365,0.669,0.761,1.7,0.382152193,0.119453658,0.223971648,0.074035351,0.035326924,7.47E-05,2.41E-05
0,48,0.381,0.117,0.031,0,0.194571456,0.241876965,2.4,0.455779243,0.110620687,1,0.786,0.398628188,0.150730655,0.476,0.668,0.380625289,0.116974041,0.817,0.847,1.6,0.380609013,0.116994628,0.224070116,0.07543939,0.03825329,2.09E-05,7.45E-06
0,49,0.376,0.115,0.042,0,0.192715359,0.239120038,2.4,0.455779243,0.110620687,1,0.81,0.395822236,0.15223696,0.525,0.723,0.375923975,0.115404892,0.682,0.809,1.8,0.375996145,0.115379909,0.221126229,0.079940157,0.041854074,6.07E-05,1.57E-05
0,50,0.373,0.115,0.047,0,0.191883335,0.237887558,2.4,0.455779243,0.110620687,1,0.828,0.393702079,0.153385752,0.543,0.75,0.3731043,0.115342268,0.304,0.609,2.4,0.373099291,0.11537455,0.218719198,0.082839416,0.043237523,5.04E-05,2.45E-05
0,51,0.37,0.115,0.054,0,0.190730498,0.236183278,2.4,0.455779243,0.110620687,1,0.842,0.392043495,0.154290907,0.571,0.783,0.37028285,0.114601054,0.501,0.742,2.1,0.370292785,0.114631878,0.216830512,0.085586649,0.045236202,2.96E-05,6.37E-06
0,52,0.368,0.115,0.058,0,0.190077932,0.235220323,2.4,0.455779243,0.110620687,1,0.859,0.390017948,0.15540411,0.588,0.809,0.367608204,0.114591963,0.665,0.854,1.9,0.367591564,0.114646956,0.2146014,0.088267478,0.046515726,5.32E-05,1.21E-05
0,53,0.365,0.114,0.065,0,0.188946623,0.233553912,2.5,0.455533422,0.106762323,1,0.872,0.388460253,0.156266069,0.614,0.84,0.365021246,0.113953619,0.614,0.84,2,0.365021246,0.113953619,0.212865131,0.090795269,0.048388337,2.04E-05,2.04E-05
0,54,0.363,0.113,0.07,0,0.188146754,0.232378002,2.5,0.455533422,0.106762323,1,0.88,0.387497828,0.15680121,0.636,0.864,0.36323641,0.113266448,0.163,0.563,2.9,0.363255775,0.113234992,0.211783824,0.09251317,0.049849321,2.18E-05,1.51E-05
0,55,0.362,0.113,0.073,0,0.187670076,0.231678122,2.5,0.455533422,0.106762323,1,0.89,0.386290611,0.157475266,0.647,0.881,0.361536724,0.113283344,0.647,0.881,2,0.361536724,0.113283344,0.210349094,0.094221124,0.050648762,3.79E-06,3.79E-06
0,56,0.359,0.113,0.077,0,0.187038249,0.230751481,2.5,0.455533422,0.106762323,1,0.904,0.384592559,0.1584287,0.663,0.905,0.359202204,0.113259682,0.051,0.501,3.3,0.35920643,0.11332727,0.208398598,0.096553358,0.051759373,6.45E-05,4.40E-06
0,57,0.357,0.113,0.081,0,0.186410663,0.229832222,2.5,0.455533422,0.106762323,1,0.917,0.383007329,0.159324445,0.676,0.927,0.356911795,0.113422759,0.155,0.583,3,0.356926184,0.113355801,0.206517291,0.098803904,0.052836364,7.32E-05,2.43E-05
0,58,0.355,0.113,0.084,0,0.18594273,0.229147571,2.5,0.455533422,0.106762323,1,0.926,0.381904994,0.159950576,0.687,0.943,0.355413422,0.113375464,0.481,0.811,2.3,0.355423632,0.113403949,0.205248968,0.100315282,0.053552966,3.13E-05,1.65E-05
0,59,0.354,0.113,0.088,0,0.185322461,0.228241023,2.5,0.455533422,0.106762323,1,0.932,0.381167858,0.16037077,0.706,0.964,0.353931042,0.112822979,0.561,0.871,2.2,0.35398135,0.112801657,0.204392084,0.101734846,0.054813594,6.46E-05,2.51E-05
0,60,0.355,0.112,0.089,0,0.18516804,0.228015505,2.5,0.455533422,0.106762323,1,0.922,0.382395417,0.159671683,0.718,0.964,0.355145095,0.111548002,0.004,0.481,3.6,0.355136943,0.111532345,0.20604213,0.10051875,0.055320049,1.94E-05,1.07E-05
0,61,0.353,0.112,0.093,0,0.184552921,0.227117874,2.5,0.455533422,0.106762323,1,0.933,0.381044826,0.16044102,0.731,0.985,0.353078832,0.111644821,0.52,0.849,2.3,0.353093717,0.111617954,0.204324789,0.102558121,0.056274291,4.46E-05,1.70E-05
0,62,0.353,0.111,0.095,0,0.184246891,0.226671704,2.6,0.455306096,0.103164122,1,0.932,0.381167858,0.16037077,0.741,0.992,0.352964719,0.111085221,0.043,0.517,3.5,0.352967321,0.111028589,0.20454892,0.102631239,0.056815458,4.49E-05,1.71E-05
0,63,0.352,0.11,0.1,0,0.183486239,0.22556391,2.6,0.455306096,0.103164122,1,0.936,0.380675426,0.160652145,0.75,1,0.352591278,0.110703544,0.033,0.514,3.6,0.351666007,0.109881062,0.20410518,0.103875728,0.058475253,0.001245304,1.98E-05
0,64,0.35,0.109,0.107,0,0.182431816,0.224031066,2.6,0.455306096,0.103164122,1,0.943,0.379811709,0.161146976,0.746,1,0.352189976,0.111117913,0.169,0.621,3.2,0.349750929,0.108769773,0.20318163,0.105695462,0.060382556,0.003376449,9.68E-06
0,65,0.348,0.108,0.114,0,0.181389443,0.222518914,2.7,0.455095253,0.09980062,1,0.95,0.378945475,0.161644926,0.743,1,0.351886913,0.111430934,0.549,0.896,2.4,0.347927608,0.107689607,0.202288337,0.107456437,0.062232685,0.005444488,3.04E-06
0,66,0.346,0.107,0.119,0,0.180652154,0.221451244,2.7,0.455095253,0.09980062,1,0.958,0.377952374,0.16221788,0.736,1,0.351172705,0.112168917,0.509,0.878,2.5,0.34615005,0.107232602,0.201092496,0.109194176,0.063523551,7.04E-03,7.52E-06
0,67,0.345,0.106,0.124,0,0.179920835,0.22039377,2.7,0.455095253,0.09980062,1,0.961,0.377579094,0.162433814,0.736,1,0.351172705,0.112168917,0.531,0.899,2.5,0.345023638,0.106218738,0.200731901,0.110275336,0.064986853,0.008582666,2.61E-05
0,68,0.343,0.106,0.128,0,0.179340029,0.219555035,2.7,0.455095253,0.09980062,1,0.974,0.375956018,0.163376407,0.725,1,0.350029963,0.113350617,0.266,0.72,3.1,0.342758089,0.106361619,0.198808849,0.112524951,0.065997755,0.010103011,2.69E-05
0,69,0.341,0.106,0.133,0,0.178619273,0.218515551,2.7,0.455095253,0.09980062,1,0.981,0.375078283,0.163888654,0.72,1,0.349502084,0.113896884,0.621,0.982,2.4,0.341134802,0.105898241,0.197717933,0.1141217,0.067184007,0.011566568,1.06E-05
0,70,0.341,0.108,0.127,0,0.179484878,0.21976412,2.7,0.455095253,0.09980062,1,0.991,0.373819721,0.164626247,0.707,1,0.348104098,0.115344793,0.069,0.578,3.7,0.34065727,0.108223197,0.195996032,0.114746812,0.0654127,0.01028968,1.87E-05
1,1,0.625,0.125,0,0,0.2,0.25,1.9,0.457384978,0.135021153,1,0,0.481553876,0.112420862,0.556,0,0.473116009,0.078883297,1,0,0.8,0.482964541,0.136019212,0.443001129,0.167914321,0.143996616,0.158730895,0.142462257
1,2,0.667,0.188,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.417,0,0.474910071,0.158355226,0.071,0,0.4602592,0.119519566,1,0,0.5,0.487104831,0.198558715,0.470833334,0.204928433,0.193958784,0.217314017,0.179902052
1,3,0.611,0.194,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.299,0,0.472696148,0.172654353,0,0,0.457001411,0.129315864,1,0,0.5,0.487104831,0.198558715,0.414847882,0.148956945,0.140119627,0.167306699,0.124074513
1,4,0.604,0.177,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.425,0,0.475044536,0.157471383,0.009,0,0.457447714,0.127984977,1,0,0.6,0.485281374,0.172166642,0.410691533,0.143443958,0.130603037,0.154716191,0.118986918
1,5,0.558,0.192,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.261,0,0.471876813,0.177828251,0,0,0.457001411,0.129315864,1,0,0.5,0.487104831,0.198558715,0.363050348,0.09662674,0.087557019,0.11897807,7.16E-02
1,6,0.542,0.215,0,0,0.2,0.25,1,0.464101615,0.224009238,0.105,0,0.467779078,0.202800052,0,0,0.457001411,0.129315864,1,0,0.4,0.489791665,0.234524632,0.343426475,0.078054953,0.074933767,0.120655113,0.055330437
1,7,0.548,0.22,0,0,0.2,0.25,1,0.464101615,0.224009238,0.085,0,0.467147241,0.206522028,0,0,0.457001411,0.129315864,1,0,0.4,0.489791665,0.234524632,0.348890776,0.083602531,0.08163236,0.128368253,5.96E-02
1,8,0.536,0.219,0,0,0.2,0.25,1,0.464101615,0.224009238,0.083,0,0.467082452,0.206901813,0,0,0.457001411,0.129315864,1,0,0.4,0.489791665,0.234524632,0.337906455,0.0725476,0.070380341,0.119632216,4.93E-02
1,9,0.523,0.218,0,0,0.2,0.25,1,0.464101615,0.224009238,0.077,0,0.466886275,0.208049664,0,0,0.457001411,0.129315864,0.82,0,0.5,0.486211796,0.215580968,0.324769096,0.059394161,0.057065452,0.110309436,3.70E-02
1,10,0.521,0.213,0,0,0.2,0.25,1,0.464101615,0.224009238,0.101,0,0.467654998,0.203533593,0,0,0.457001411,0.129315864,0.869,0,0.5,0.486473668,0.210664392,0.323017457,0.057887394,0.053928951,0.104852824,0.034408662
1,11,0.515,0.216,0,0,0.2,0.25,1,0.464101615,0.224009238,0.079,0,0.466951971,0.207665623,0,0,0.457001411,0.129315864,0.832,0,0.5,0.486277357,0.214355793,0.316990012,0.051688535,0.048899395,0.104306383,0.028915908
1,12,0.521,0.222,0,0,0.2,0.25,1,0.464101615,0.224009238,0.053,0,0.466073398,0.212772429,0,0,0.457001411,0.129315864,1,0,0.4,0.489791665,0.234524632,0.322033589,0.056759856,0.055569317,0.112721363,3.34E-02
1,13,0.519,0.218,0,0,0.2,0.25,1,0.464101615,0.224009238,0.072,0,0.466720691,0.209016061,0,0,0.457001411,0.129315864,0.814,0,0.5,0.486178655,0.216198827,0.320835735,0.055461279,0.053264441,0.108297165,3.31E-02
1,14,0.512,0.205,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.131,0,0.468559127,0.198158866,0,0,0.457001411,0.129315864,0.939,0,0.5,0.486822575,0.204017732,0.315083426,0.049180198,0.043939268,0.09379048,2.51E-02
1,15,0.497,0.208,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.102,0,0.467686124,0.203349707,0,0,0.457001411,0.129315864,0.899,0,0.5,0.486626664,0.207763484,0.300128573,0.034384999,0.029953591,0.088664954,1.06E-02
1,16,0.495,0.208,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.1,0,0.467623803,0.203717815,0,0,0.457001411,0.129315864,0.898,0,0.5,0.486621649,0.207858892,0.297721746,0.031954606,0.027557138,0.087589177,8.18E-03
1,17,0.498,0.201,0,0,0.2,0.25,1.1,0.462839343,0.208715199,0.142,0,0.468875948,0.196259066,0,0,0.457001411,0.129315864,0.979,0,0.5,0.487009812,0.200404745,0.301559847,0.035561059,0.02905918,0.082340228,1.06E-02
1,18,0.495,0.197,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.164,0,0.469487518,0.192567405,0,0,0.457001411,0.129315864,1,0,0.5,0.487104831,0.198558715,0.300130358,0.033620767,0.026220101,0.077593741,8.46E-03
1,19,0.496,0.191,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.201,0,0.470454426,0.186664165,0,0,0.457001411,0.129315864,1,0,0.5,0.487104831,0.198558715,0.301485562,0.034145966,0.02549557,0.072594349,1.15E-02
1,20,0.492,0.188,0,0,0.2,0.25,1.2,0.461777939,0.195379202,0.218,0,0.470874732,0.184072235,0,0,0.457001411,0.129315864,0.827,0,0.6,0.484227685,0.186931545,0.298287939,0.030909834,0.021072592,0.067727939,7.46E-03
1,21,0.494,0.181,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.267,0,0.47201012,0.176990694,0,0,0.457001411,0.129315864,0.906,0,0.6,0.484735141,0.179886525,0.302136613,0.033318403,0.02232397,0.063229167,9.34E-03
1,22,0.492,0.176,0,0,0.2,0.25,1.3,0.460872967,0.183647236,0.296,0,0.47263356,0.173051793,0,0,0.457001411,0.129315864,0.957,0,0.6,0.485038696,0.17561412,0.301608644,0.032432948,0.02002962,0.058710614,7.40E-03
1,23,0.489,0.174,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.309,0,0.472902297,0.171342701,0,0,0.457001411,0.129315864,0.981,0,0.6,0.485175578,0.173673093,0.298974302,0.029045894,0.016430433,5.50E-02,3.96E-03
1,24,0.486,0.172,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.321,0,0.473144752,0.169794912,0,0,0.457001411,0.129315864,1,0,0.6,0.485281374,0.172166642,0.29658571,0.026055,0.013132145,0.051562144,8.79E-04
1,25,0.485,0.168,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.347,0,0.473652431,0.166535881,0,0,0.457001411,0.129315864,0.796,0,0.7,0.482520709,0.168099551,0.296469972,0.025387634,0.011489045,4.80E-02,2.49E-03
1,26,0.487,0.168,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.35,0,0.473709512,0.166167907,0,0,0.457001411,0.129315864,1,0,0.6,0.485281374,0.172166642,0.298583282,0.02754067,0.013632894,0.049275563,4.34E-03
1,27,0.486,0.171,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.325,0,0.473224405,0.169285206,0,0,0.457001411,0.129315864,1,0,0.6,0.485281374,0.172166642,0.296738674,0.02609185,0.013042686,0.05108553,1.20E-03
1,28,0.485,0.171,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.325,0,0.473224405,0.169285206,0,0,0.457001411,0.129315864,1,0,0.6,0.485281374,0.172166642,0.295826297,0.025116053,0.012036997,0.050389514,1.05E-03
1,29,0.487,0.167,0,0,0.2,0.25,1.4,0.460092203,0.17324593,0.363,0,0.473953415,0.16459205,0,0,0.457001411,0.129315864,0.817,0,0.7,0.482685897,0.166282751,0.298919781,0.027767471,0.013278619,0.047949352,4.40E-03
1,30,0.489,0.165,0,0,0.2,0.25,1.5,0.459411708,0.163960781,0.376,0,0.474191855,0.163045927,0,0,0.457001411,0.129315864,0.835,0,0.7,0.482824119,0.164756509,0.301055884,0.029506587,0.014865529,0.048063193,0.006087131
1,31,0.487,0.163,0,0,0.2,0.25,1.5,0.459411708,0.163960781,0.395,0,0.474530893,0.160837966,0,0,0.457001411,0.129315864,0.864,0,0.7,0.483040535,0.162355722,0.299581186,0.027179815,0.012161659,0.044539699,3.53E-03
