DF_split,Shape,Equilibria,PU,PL
QRE_it,QRE,QRE_it,0.545357572,0.426289184
QRE_it,QRE,QRE_it,0.545647532,0.425383107
QRE_it,QRE,QRE_it,0.545932133,0.424477267
QRE_it,QRE,QRE_it,0.546211388,0.423571705
QRE_it,QRE,QRE_it,0.546485314,0.422666465
QRE_it,QRE,QRE_it,0.546753926,0.421761586
QRE_it,QRE,QRE_it,0.54701724,0.420857111
QRE_it,QRE,QRE_it,0.547275272,0.419953081
QRE_it,QRE,QRE_it,0.547528039,0.419049536
QRE_it,QRE,QRE_it,0.547775558,0.418146517
QRE_it,QRE,QRE_it,0.548017847,0.417244063
QRE_it,QRE,QRE_it,0.548254924,0.416342214
QRE_it,QRE,QRE_it,0.548486805,0.41544101
QRE_it,QRE,QRE_it,0.548713511,0.414540489
QRE_it,QRE,QRE_it,0.54893506,0.41364069
QRE_it,QRE,QRE_it,0.549151471,0.412741651
QRE_it,QRE,QRE_it,0.549362764,0.41184341
QRE_it,QRE,QRE_it,0.549568957,0.410946004
QRE_it,QRE,QRE_it,0.549770072,0.41004947
QRE_it,QRE,QRE_it,0.549966129,0.409153845
QRE_it,QRE,QRE_it,0.550157148,0.408259165
QRE_it,QRE,QRE_it,0.550343151,0.407365467
QRE_it,QRE,QRE_it,0.550524158,0.406472785
QRE_it,QRE,QRE_it,0.550700191,0.405581155
QRE_it,QRE,QRE_it,0.550871271,0.404690611
QRE_it,QRE,QRE_it,0.551037422,0.403801189
QRE_it,QRE,QRE_it,0.551198664,0.402912921
QRE_it,QRE,QRE_it,0.551355021,0.402025841
QRE_it,QRE,QRE_it,0.551506515,0.401139983
QRE_it,QRE,QRE_it,0.551653169,0.400255378
QRE_it,QRE,QRE_it,0.551795006,0.399372061
QRE_it,QRE,QRE_it,0.55193205,0.398490062
QRE_it,QRE,QRE_it,0.552064324,0.397609413
QRE_it,QRE,QRE_it,0.552191853,0.396730145
QRE_it,QRE,QRE_it,0.552314659,0.395852289
QRE_it,QRE,QRE_it,0.552432767,0.394975875
QRE_it,QRE,QRE_it,0.552546202,0.394100933
QRE_it,QRE,QRE_it,0.552654988,0.393227492
QRE_it,QRE,QRE_it,0.552759149,0.392355582
QRE_it,QRE,QRE_it,0.552858711,0.391485232
QRE_it,QRE,QRE_it,0.552953699,0.390616469
QRE_it,QRE,QRE_it,0.553044138,0.389749321
QRE_it,QRE,QRE_it,0.553130052,0.388883817
QRE_it,QRE,QRE_it,0.553211468,0.388019982
QRE_it,QRE,QRE_it,0.553288412,0.387157843
QRE_it,QRE,QRE_it,0.553360908,0.386297428
QRE_it,QRE,QRE_it,0.553428983,0.385438761
QRE_it,QRE,QRE_it,0.553492662,0.384581868
QRE_it,QRE,QRE_it,0.553551972,0.383726773
QRE_it,QRE,QRE_it,0.553606939,0.382873504
QRE_it,QRE,QRE_it,0.55365759,0.38202208
QRE_it,QRE,QRE_it,0.55370395,0.381172528
QRE_it,QRE,QRE_it,0.553746046,0.380324871
QRE_it,QRE,QRE_it,0.553783904,0.379479132
QRE_it,QRE,QRE_it,0.553817552,0.378635333
QRE_it,QRE,QRE_it,0.553847016,0.377793497
QRE_it,QRE,QRE_it,0.553872322,0.376953645
QRE_it,QRE,QRE_it,0.553893499,0.376115799
QRE_it,QRE,QRE_it,0.553910571,0.37527998
QRE_it,QRE,QRE_it,0.553923567,0.374446207
QRE_it,QRE,QRE_it,0.553932514,0.373614502
QRE_it,QRE,QRE_it,0.553937438,0.372784884
QRE_it,QRE,QRE_it,0.553938366,0.371957373
QRE_it,QRE,QRE_it,0.553935327,0.371131987
QRE_it,QRE,QRE_it,0.553928347,0.370308746
QRE_it,QRE,QRE_it,0.553917452,0.369487667
QRE_it,QRE,QRE_it,0.553902671,0.368668769
QRE_it,QRE,QRE_it,0.553884031,0.367852068
QRE_it,QRE,QRE_it,0.553861559,0.367037582
QRE_it,QRE,QRE_it,0.553835282,0.366225329
QRE_it,QRE,QRE_it,0.553805228,0.365415323
QRE_it,QRE,QRE_it,0.553771423,0.364607581
QRE_it,QRE,QRE_it,0.553733896,0.36380212
QRE_it,QRE,QRE_it,0.553692673,0.362998953
QRE_it,QRE,QRE_it,0.553647782,0.362198096
QRE_it,QRE,QRE_it,0.55359925,0.361399564
QRE_it,QRE,QRE_it,0.553547104,0.36060337
QRE_it,QRE,QRE_it,0.553491372,0.359809529
QRE_it,QRE,QRE_it,0.55343208,0.359018055
QRE_it,QRE,QRE_it,0.553369257,0.358228959
QRE_it,QRE,QRE_it,0.553302929,0.357442255
QRE_it,QRE,QRE_it,0.553233123,0.356657956
QRE_it,QRE,QRE_it,0.553159867,0.355876074
QRE_it,QRE,QRE_it,0.553083188,0.35509662
QRE_it,QRE,QRE_it,0.553003112,0.354319605
QRE_it,QRE,QRE_it,0.552919666,0.353545042
QRE_it,QRE,QRE_it,0.552832879,0.352772941
QRE_it,QRE,QRE_it,0.552742776,0.352003312
QRE_it,QRE,QRE_it,0.552649384,0.351236165
QRE_it,QRE,QRE_it,0.552552731,0.35047151
QRE_it,QRE,QRE_it,0.552452842,0.349709358
QRE_it,QRE,QRE_it,0.552349745,0.348949716
QRE_it,QRE,QRE_it,0.552243467,0.348192594
QRE_it,QRE,QRE_it,0.552134033,0.347438
QRE_it,QRE,QRE_it,0.552021471,0.346685944
QRE_it,QRE,QRE_it,0.551905807,0.345936432
QRE_it,QRE,QRE_it,0.551787067,0.345189472
QRE_it,QRE,QRE_it,0.551665278,0.344445072
QRE_it,QRE,QRE_it,0.551540465,0.34370324
QRE_it,QRE,QRE_it,0.551412655,0.342963981
QRE_it,QRE,QRE_it,0.551281874,0.342227302
QRE_it,QRE,QRE_it,0.551148148,0.34149321
QRE_it,QRE,QRE_it,0.551011503,0.34076171
QRE_it,QRE,QRE_it,0.550871965,0.340032809
QRE_it,QRE,QRE_it,0.550729559,0.339306511
QRE_it,QRE,QRE_it,0.550584311,0.338582822
QRE_it,QRE,QRE_it,0.550436247,0.337861747
QRE_it,QRE,QRE_it,0.550285392,0.337143291
QRE_it,QRE,QRE_it,0.550131772,0.336427457
QRE_it,QRE,QRE_it,0.549975411,0.33571425
QRE_it,QRE,QRE_it,0.549816335,0.335003674
QRE_it,QRE,QRE_it,0.549654569,0.334295732
QRE_it,QRE,QRE_it,0.549490138,0.333590429
QRE_it,QRE,QRE_it,0.549323067,0.332887766
QRE_it,QRE,QRE_it,0.549153381,0.332187747
QRE_it,QRE,QRE_it,0.548981104,0.331490375
QRE_it,QRE,QRE_it,0.548806261,0.330795652
QRE_it,QRE,QRE_it,0.548628876,0.33010358
QRE_it,QRE,QRE_it,0.548448974,0.329414161
QRE_it,QRE,QRE_it,0.548266579,0.328727398
QRE_it,QRE,QRE_it,0.548081715,0.32804329
QRE_it,QRE,QRE_it,0.547894407,0.327361841
QRE_it,QRE,QRE_it,0.547704677,0.326683051
QRE_it,QRE,QRE_it,0.54751255,0.326006921
QRE_it,QRE,QRE_it,0.54731805,0.325333451
QRE_it,QRE,QRE_it,0.5471212,0.324662643
QRE_it,QRE,QRE_it,0.546922024,0.323994496
QRE_it,QRE,QRE_it,0.546720545,0.32332901
QRE_it,QRE,QRE_it,0.546516785,0.322666186
QRE_it,QRE,QRE_it,0.546310769,0.322006023
QRE_it,QRE,QRE_it,0.54610252,0.321348521
QRE_it,QRE,QRE_it,0.545892059,0.320693678
QRE_it,QRE,QRE_it,0.545679411,0.320041495
QRE_it,QRE,QRE_it,0.545464597,0.31939197
QRE_it,QRE,QRE_it,0.54524764,0.318745102
QRE_it,QRE,QRE_it,0.545028562,0.318100889
QRE_it,QRE,QRE_it,0.544807386,0.31745933
QRE_it,QRE,QRE_it,0.544584134,0.316820424
QRE_it,QRE,QRE_it,0.544358828,0.316184168
QRE_it,QRE,QRE_it,0.54413149,0.315550561
