examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
591,Don't Control,0,6,48,664,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
610,Don't Control,0,7,48,628,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
566,Control,1,8,48,560,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
592,Don't Control,0,9,48,632,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
628,Don't Control,0,10,48,630,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
536,Control,1,11,48,444,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
624,Don't Control,0,12,48,608,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
507,Don't Control,0,13,48,542,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
520,Control,1,14,48,394,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
547,Don't Control,0,2,49,476,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
680,Don't Control,0,3,49,678,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
569,Control,1,4,49,580,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
605,Don't Control,0,6,49,678,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
624,Don't Control,0,7,49,642,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
577,Control,1,8,49,570,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
606,Don't Control,0,9,49,646,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
642,Don't Control,0,10,49,644,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
547,Control,1,11,49,454,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
638,Don't Control,0,12,49,622,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
521,Don't Control,0,13,49,556,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
534,Don't Control,0,14,49,408,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
558,Control,1,2,50,486,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
694,Don't Control,0,3,50,692,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
580,Control,1,4,50,590,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
619,Don't Control,0,6,50,692,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
638,Don't Control,0,7,50,656,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
588,Control,1,8,50,580,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
620,Don't Control,0,9,50,660,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
656,Don't Control,0,10,50,658,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
558,Control,1,11,50,464,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
652,Don't Control,0,12,50,636,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
524,Don't Control,0,13,50,572,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
537,Don't Control,0,14,50,424,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
572,Don't Control,0,2,51,500,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
708,Don't Control,0,3,51,706,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
591,Control,1,4,51,600,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
633,Don't Control,0,6,51,706,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
652,Don't Control,0,7,51,670,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
599,Control,1,8,51,590,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
