examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
353,Control,1,4,30,364,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
339,Don't Control,0,6,30,412,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
375,Control,1,7,30,382,Cheat,1,0,17,"Control, Cheat",1,12,2
359,Don't Control,0,8,30,344,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
377,Don't Control,0,9,30,396,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
379,Control,1,10,30,382,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
338,Control,1,11,30,264,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
384,Don't Control,0,12,30,372,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
305,Control,1,13,30,370,Cheat,1,0,17,"Control, Cheat",1,12,2
315,Control,1,14,30,244,Cheat,1,0,17,"Control, Cheat",1,12,2
344,Control,1,2,31,282,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
428,Don't Control,0,3,31,426,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
367,Don't Control,0,4,31,378,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
353,Don't Control,0,6,31,426,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
386,Control,1,7,31,392,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
373,Don't Control,0,8,31,358,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
391,Don't Control,0,9,31,410,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
390,Control,1,10,31,392,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
349,Control,1,11,31,274,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
395,Control,1,12,31,382,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
319,Don't Control,0,13,31,384,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
327,Control,1,14,31,246,Cheat,1,0,17,"Control, Cheat",1,12,2
355,Control,1,2,32,292,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
442,Don't Control,0,3,32,440,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
381,Don't Control,0,4,32,392,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
367,Don't Control,0,6,32,440,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
397,Control,1,7,32,402,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
387,Don't Control,0,8,32,372,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
394,Don't Control,0,9,32,426,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
404,Don't Control,0,10,32,406,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
360,Control,1,11,32,284,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
409,Don't Control,0,12,32,396,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
333,Don't Control,0,13,32,398,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
338,Control,1,14,32,256,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
369,Don't Control,0,2,33,306,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
456,Don't Control,0,3,33,454,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
395,Don't Control,0,4,33,406,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
381,Don't Control,0,6,33,454,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
411,Don't Control,0,7,33,416,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
401,Don't Control,0,8,33,386,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
405,Control,1,9,33,436,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
418,Don't Control,0,10,33,420,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
371,Control,1,11,33,294,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
