,framed,round_nr,gamma,alpha,beta,PU,QL,q,min_q
69437676,0.0,70.0,3.7,0.069,0.578,0.3406572704838758,0.10822319653001128,1.8676595116953644e-05,True
137851690,1.0,70.0,1.1,0.617,0.146,0.4607279632608502,0.13571346754078062,1.37017276231406e-05,True
