id_in_session_p1,id_in_session_p2,participant_code_p1,participant_code_p2,total_payoff_p1,total_payoff_p2,payoff_round_p1,payoff_round_p2,examiner_decision,student_decision,Cell,p1s1,p1s2,p2s1,p2s2,pf_diff_p1_val,pf_diff_p2_val,pf_diff_p1_abs,pf_diff_p2_abs,pf_diff_p1_s,pf_diff_p2_s,game_id,round_number,framing
9,10,r3oyr52t,3u51j68w,239,304,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,21,1
11,12,xtfge1ys,i2nn9ow6,256,94,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,xtfge1ysi2nn9ow6,21,1
13,14,uwz2vbjr,b7ctrqau,234,214,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,21,1
15,16,ipmny9rq,i18sqw1f,291,290,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,21,1
17,18,ouaa8yuq,qxal8ioj,272,246,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ouaa8yuqqxal8ioj,21,1
19,20,oy8wn5im,y9iygxxf,273,266,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,oy8wn5imy9iygxxf,21,1
21,22,9smjkz19,6ub1usmw,283,296,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,21,1
23,24,0bmasffv,6zqxv643,231,210,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,0bmasffv6zqxv643,21,1
25,26,sj2ft9f6,6fsse8c1,223,156,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,sj2ft9f66fsse8c1,21,1
27,28,rj5j60np,i7rlg7cc,238,236,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,21,1
1,2,265l99ai,2fsj9qvt,294,306,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,22,1
3,4,7xjh9hwo,e8jis7nf,237,230,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,22,1
5,6,zo9j0hsi,iyu7t1vc,196,264,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,zo9j0hsiiyu7t1vc,22,1
7,8,3fmd8mik,qkypffhk,308,308,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,22,1
9,10,r3oyr52t,3u51j68w,242,320,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,r3oyr52t3u51j68w,22,1
11,12,xtfge1ys,i2nn9ow6,270,108,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,xtfge1ysi2nn9ow6,22,1
13,14,uwz2vbjr,b7ctrqau,245,224,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,22,1
15,16,ipmny9rq,i18sqw1f,305,304,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,22,1
17,18,ouaa8yuq,qxal8ioj,286,260,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ouaa8yuqqxal8ioj,22,1
19,20,oy8wn5im,y9iygxxf,287,280,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,oy8wn5imy9iygxxf,22,1
21,22,9smjkz19,6ub1usmw,297,310,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,22,1
23,24,0bmasffv,6zqxv643,245,224,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,0bmasffv6zqxv643,22,1
25,26,sj2ft9f6,6fsse8c1,234,166,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,sj2ft9f66fsse8c1,22,1
27,28,rj5j60np,i7rlg7cc,249,246,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,22,1
